Name;Web Link;Artikel;Versandgewicht;Kurz beschreibung;Beschreibung;Preise;Preise Info;Lieferzeit;Bilder
LEADER 50;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000410-leader-50.html;5.000.410;390 kg;"180m PE-Schlauch 1 1/2"", Turbinenantrieb 10-30m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 25m (bei 6bar), Durchfluß ca. 5,2-12m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 165 x 125 x 170cm (ohne Regnerwagen)";Der LEADER 50 Bewässerungswagen ist ideal zum Bewässern von großen Flächen wie z.B. Rasenflächen, Reihenkulturen im Gemüsebau und der Landwirtschaft.;6.800,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;1-2 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_d3651c827fca1bd4ec84757cf6f8cecd.jpg,https://www.ebinger-gmbh.com/isotope/i/img_ec8a3c895ae50cdeb38abb947b2a6f5d.jpg
LEADER 50;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000400-leader-50.html;5.000.400;360 kg;"150m PE-Schlauch 1 1/2"", Turbinenantrieb 10-30m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 25m (bei 6bar), Durchfluß ca. 5,2-12m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 165 x 125 x 170cm (ohne Regnerwagen)";Der LEADER 50 Bewässerungswagen ist ideal zum Bewässern von großen Flächen wie z.B. Rasenflächen, Reihenkulturen im Gemüsebau und der Landwirtschaft. Ein flexibles Bewässerungssystem. Mobil und auf verschiedenen Flächen einsetzbar. Es können verschiedene Regnertypen montiert werden.;6.700,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;1-2 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_d3651c827fca1bd4ec84757cf6f8cecd.jpg,https://www.ebinger-gmbh.com/isotope/i/img_ec8a3c895ae50cdeb38abb947b2a6f5d.jpg
LEADER 40;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000300-leader-40.html;5.000.300;225 kg;"120m PE-Schlauch 1 1/4"", Turbinenantrieb 10-30m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 19m (bei 6bar), Durchfluß ca. 3,4-7,4m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 145 x 100 x 130cm (ohne Regnerwagen)";Der LEADER 40 Bewässerungswagen ist ideal zum Bewässern von großen Flächen wie z.B. Rasenflächen, Reihenkulturen im Gemüsebau, Landwirtschaft. Ein flexibles Bewässerungssystem. Mobil und auf verschiedenen Flächen einsetzbar. Es können verschiedene Regnertypen montiert werden.;4.800,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;1-2 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_df396735a92fae6776262a18ae19ce79.jpg,https://www.ebinger-gmbh.com/isotope/i/img_ec8a3c895ae50cdeb38abb947b2a6f5d.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1310203-schlauchaufroller-osm-310.html;1.310.203;12 kg;Max. 100bar/130°C, 12m - 10mm ID Hochdruckschlauch 1SN blau, abriebfest, Gehäuse Stahl lackiert, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;478,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_d73f7c07d2cb64521951a4ee61954ed4.jpg
LEADER 32;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000200-leader-32.html;5.000.200;135 kg;"70m PE-Schlauch 1"", Turbinenantrieb 10-30m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 16m (bei 4bar), Durchfluß ca. 1,9-4,8m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 140 x 80 x 114cm (ohne Regnerwagen)";Der LEADER 32 Bewässerungswagen ist ideal zum Bewässern von kleinen Flächen wie z.B. Rasenflächen, Reihenkulturen im Gemüsebau, Sportplätze, Pferdekoppeln und Reithallen. Besonders im Bereich von Reithallen, Weideflächen, Sportplätzen und Parkanlagen liegen die Vorteile eines mobilen Bewässerungswagen auf der Hand. Leicht zu bewegen durch ein geringes Gewicht. Flexibel an mehreren Standorten einsetzbar. Er kann frostsicher gelagert werden und dadurch auch kurzzeitig bei kalten Temperaturen z.B. in Reithallen eingesetzt werden. Die Anschaffungskosten sind zudem um ein vielfaches geringer als bei stationären Anlagen.;3.400,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;Ab KW 41/2020;https://www.ebinger-gmbh.com/isotope/i/img_8aa1ec519998ea9ada44bf23e11fdb1e.jpg,https://www.ebinger-gmbh.com/isotope/i/img_ec8a3c895ae50cdeb38abb947b2a6f5d.jpg
LEADER 25;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000100-leader-25.html;5.000.100;70 kg;"50m PE-Schlauch 3/4"", Turbinenantrieb 10-40m/ Std., regulierbarer Beregnungsstärke,  Wurfweite bis 12m (bei 4bar), Durchfluß ca. 1-2,5m³/ Std., Regnerwagen mit Sektorregner, Druckbegrenzungsventil, automatische Abschaltung,  Maße L x B x H: 92 x 59 x 109cm (ohne Regnerwagen)";Der LEADER 25 Bewässerungswagen ist ideal zum Bewässern von kleinen Flächen wie z.B. - Rasenflächen, Reihenkulturen im Gemüsebau, Sportplätze, Pferdekoppeln und Reithallen. Besonders im Bereich von Reithallen, Weideflächen, Sportplätzen und Parkanlagen liegen die Vorteile eines mobilen Bewässerungswagen auf der Hand. Leicht zu bewegen durch ein geringes Gewicht. Flexibel an mehreren Standorten einsetzbar. Er kann frostsicher gelagert werden und dadurch auch kurzzeitig bei kalten Temperaturen z.B. in Reithallen eingesetzt werden. Die Anschaffungskosten sind zudem um ein vielfaches geringer als bei stationären Anlagen.;2.400,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;1-2 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_1dfb5e84593718d9d7542e563719048a.jpg,https://www.ebinger-gmbh.com/isotope/i/img_f5b6ba4c221953ab00393cb00e42dc48.jpg
IRRI STAR 63;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5063200-irri-star-63.html;5.063.200;900 kg;200m PE-Schlauch 50x63mm, Turbinenantrieb, regulierbarer Beregnungsstärke, Regnerwagen mit Sektorregner, automatischer Abschaltung, automatische Schlauchführung, Wurfweite Sektorregner 28 - 36m bei 6,5bar, Fördermenge 12 - 26m³/Std., (Fördermenge und Wurfweite sind abhängig von der Pumpenleistung);Der IRRI STAR 63 Bewässerungswagen ist ideal zum Bewässern von großen Flächen in der Landwirtschaft.;10.380,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/files/cto_theme/img/placeholder.jpg
Schlauchaufroller MINI AIR;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/druckluft/id-1000801-schlauchaufroller-mini-air.html;1.000.801;3.38 kg;Max. 12bar, 6,5m - 6mm ID PE-Druckluftschlauch, Schnellkupplung und Stecker NW 7,2, Kunststoffgehäuse (schlagfest, UV-beständig);Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 180°, In jeder Position montierbar;145,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_d67596b2ba6e6da36b3818b05e9c9421.jpg
Schlauchaufroller AML 100;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/druckluft/id-1000820-schlauchaufroller-aml-100.html;1.000.820;8.13 kg;Max. 15bar/60°C, 16m - 10mm ID PU-Druckluftschlauch, 1,5m Anschlussschlauch, Schnellkupplung und Stecker NW 7,2, Kunststoffgehäuse, schlagfest/ UV beständig;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 180°, In jeder Position montierbar;203,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_576f84a7a338e244332771e6a07624ae.jpg,https://www.ebinger-gmbh.com/isotope/i/img_43241a436d114f56cbbb5ca4e0653ae6.jpg
Schlauchaufroller AML 200;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/druckluft/id-1000821-schlauchaufroller-aml-200.html;1.000.821;5 kg;Max. 15bar/60°C, 10m - 8mm ID PU-Druckluftschlauch, 1,5m Anschlussschlauch, Schnellkupplung und Stecker NW 7,2, Kunststoffgehäuse, schlagfest/ UV beständig;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 180°, In jeder Position montierbar;151,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_45018b8d467c184093931ce3f2b92576.jpg,https://www.ebinger-gmbh.com/isotope/i/img_43241a436d114f56cbbb5ca4e0653ae6.jpg
